Program	$intvoid
DeclarationList	εintvoid
Declaration	intvoid
DeclarationInitial	intvoid
DeclarationPrime	(;[
VarDeclarationPrime	;[
FunDeclarationPrime	(
TypeSpecifier	intvoid
Params	intvoid
ParamListVoidAbtar	IDε
ParamList	,ε
Param	intvoid
ParamPrime	[ε
CompoundStmt	{
StatementList	ε{break;ifwhilereturnswitchID+-(NUM
Statement	{break;ifwhilereturnswitchID+-(NUM
ExpressionStmt	break;ID+-(NUM
SelectionStmt	if
IterationStmt	while
ReturnStmt	return
ReturnStmtPrime	;ID+-(NUM
SwitchStmt	switch
CaseStmts	εcase
CaseStmt	case
DefaultStmt	defaultε
Expression	ID+-(NUM
B	=[(*+-<==ε
H	=*ε+-<==
SimpleExpressionZegond	+-(NUM
SimpleExpressionPrime	(*+-<==ε
C	ε<==
Relop	<==
AdditiveExpression	+-(IDNUM
AdditiveExpressionPrime	(*+-ε
AdditiveExpressionZegond	+-(NUM
D	ε+-
Addop	+-
Term	+-(IDNUM
TermPrime	(*ε
TermZegond	+-(NUM
G	*ε
SignedFactor	+-(IDNUM
SignedFactorPrime	(ε
SignedFactorZegond	+-(NUM
Factor	(IDNUM
VarCallPrime	([ε
VarPrime	[ε
FactorPrime	(ε
FactorZegond	(NUM
Args	εID+-(NUM
ArgList	ID+-(NUM
ArgListPrime	,ε